customer_id,review_text,churn,age,gender,location,usage_frequency,num_purchases,avg_purchase_value,sentiment_score,satisfaction_score,num_support_tickets,tenure_days
362,Happy with the purchase. No complaints about hardware. I used it for two years.,0,56,M,Mumbai,7,18,1100,0.653064582,5,1,266
74,"App crashes, freezes a lot — will not buy again. Bought it second hand. (iPhone X)",1,46,M,Kolkata,2,17,264,-0.849253823,3.4,4,982
375,"Battery life decent, and the OS updates still run smooth. Prefer newer models but this one still works.",0,32,M,Hyderabad,7,19,1236,-0.559000522,5,0,933
156,Old battery refuses to hold charge; needs replacement. Battery performance is the main issue.,0,60,M,Kolkata,7,9,412,0.874413692,5,0,101
105,Battery drains quickly and it heats up often. Prefer newer models but this one still works. (iPhone X),1,25,M,Bangalore,1,4,441,-0.496379641,3.3,1,696
395,"App crashes, freezes a lot — will not buy again.",0,38,F,Hyderabad,7,2,692,-0.885244357,5,0,219
378,"Phone works fine, fast enough and good display for the price. Shipping and delivery were fine. (iPhone X)",0,56,M,Pune,5,4,1436,-0.42820746,5,1,297
125,"Great build, feels premium — still holds up well. OS updates sometimes slow it down. (iPhone 8)",0,36,M,Mumbai,3,2,1916,0.928797279,5,0,350
69,"Phone works fine, fast enough and good display for the price. Battery performance is the main issue.",0,40,M,Delhi,3,15,537,-1,5,0,136
451,"Battery life decent, and the OS updates still run smooth. Shipping and delivery were fine. (iPhone X)",0,28,F,Chennai,4,2,372,-0.734532219,5,1,261
10,"Phone became slow after updates, frustrating experience. Minor bugs but acceptable. (iPhone X)",0,28,F,Mumbai,2,4,871,0.329007344,5,0,71
195,"Phone works fine, fast enough and good display for the price. I used it for two years. (iPhone X)",0,41,M,Mumbai,2,6,363,1,5,0,731
407,Love my iPhone X. Battery still ok and camera works great. Minor bugs but acceptable.,0,53,F,Bangalore,1,7,664,-0.378722841,5,0,912
85,"Phone works fine, fast enough and good display for the price. Screen protector saved it from scratches.",0,57,M,Pune,5,10,1194,-0.965204636,5,1,168
